Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine
CGS001_PC3_96H:TSC2:2	CGS001_PC3_144H:TSC2:2	0.5266	0.1523	0.1268	0.1572
CGS001_PC3_144H:TTC3:2	CGS001_PC3_96H:TTC3:2	0.6288	0.4659	0.4351	0.4648
CGS001_PC3_144H:TTK:2	CGS001_PC3_96H:TTK:2	0.5726	0.2199	0.205	0.2178
CGS001_MCF7_144H:TNFSF4:2	CGS001_MCF7_96H:TNFSF4:2	0.6697	0.4696	0.4646	0.4696
CGS001_MCF7_96H:TXNRD1:2	CGS001_MCF7_144H:TXNRD1:2	0.7301	0.587	0.6029	0.5877
CGS001_PC3_144H:TYMS:2	CGS001_PC3_96H:TYMS:2	0.4969	0.0435	0.0091	0.0431
CGS001_MCF7_96H:UGDH:2	CGS001_MCF7_144H:UGDH:2	0.6718	0.5037	0.4908	0.5057
CGS001_MCF7_144H:VRK2:2	CGS001_MCF7_96H:VRK2:2	0.7914	0.7863	0.7717	0.7873
CGS001_MCF7_96H:YY1:2	CGS001_MCF7_144H:YY1:2	0.6922	0.5657	0.5488	0.567
CGS001_PC3_96H:YY1:2	CGS001_PC3_144H:YY1:2	0.5706	0.3261	0.2615	0.3258
CGS001_MCF7_96H:ZAP70:2	CGS001_MCF7_144H:ZAP70:2	0.7393	0.5108	0.5879	0.5113
CGS001_MCF7_96H:CA2:2	CGS001_MCF7_144H:CA2:2	0.7055	0.5826	0.5823	0.5833
CGS001_PC3_96H:CA2:2	CGS001_PC3_144H:CA2:2	0.546	0.1659	0.1197	0.1663
CGS001_MCF7_96H:DDR1:2	CGS001_MCF7_144H:DDR1:2	0.6718	0.5445	0.5258	0.548
CGS001_PC3_144H:ALMS1:2	CGS001_PC3_96H:ALMS1:2	0.6002	0.3034	0.2946	0.3036
CGS001_MCF7_96H:USP7:2	CGS001_MCF7_144H:USP7:2	0.726	0.6062	0.6114	0.6061
CGS001_MCF7_96H:KAT6A:2	CGS001_MCF7_144H:KAT6A:2	0.6667	0.4986	0.5093	0.4996
CGS001_MCF7_144H:PANK2:2	CGS001_MCF7_96H:PANK2:2	0.5112	0.0744	0.0544	0.0765
CGS001_PC3_96H:NCOA4:2	CGS001_PC3_144H:NCOA4:2	0.6759	0.5238	0.4997	0.5302
CGS001_PC3_144H:FOSL1:2	CGS001_PC3_96H:FOSL1:2	0.4806	-0.0239	-0.0486	-0.0253
