Sample1	Sample2	dose1uM-100uM_time6
CVD001_HUH7_6H:BRD-K21680192-300-04-5:2.5	CVD001_HUH7_6H:BRD-K21680192-300-04-5:10	0.4097
AICHI001_K562_4H:K08	AICHI001_K562_4H:K07	0.6569
ASG003_MCF7_6H:J10	ASG003_MCF7_6H:J11	0.4737
HOG002_MCF7_6H:BRD-K21680192-300-10-2:1.11	HOG002_MCF7_6H:BRD-K21680192-300-10-2:3.33	0.6104
HOG002_MCF7_6H:BRD-K21680192-300-10-2:1.11	HOG002_MCF7_6H:BRD-K21680192-300-10-2:10	0.467
HOG002_MCF7_6H:BRD-K21680192-300-10-2:3.33	HOG002_MCF7_6H:BRD-K21680192-300-10-2:10	0.6777
AICHI001_OCILY19_4H:K07	AICHI001_OCILY19_4H:K08	0.7859
AICHI002_OCILY19_4H:K08	AICHI002_OCILY19_4H:K07	0.8098
LJP006_SKBR3_3H:C20	LJP006_SKBR3_3H:C21	0.3902
AICHI001_THP1_4H:K08	AICHI001_THP1_4H:K07	0.7978
EMU001_THP1_3H:C20	EMU001_THP1_6H:C20	0.5304
EMU001_THP1_3H:C20	EMU001_THP1_6H:C19	0.2417
EMU001_THP1_6H:C20	EMU001_THP1_6H:C19	0.7826
EMU001_TMD8_6H:C20	EMU001_TMD8_6H:C19	0.7425
EMU001_TMD8_6H:C20	EMU001_TMD8_3H:C19	0.6041
EMU001_TMD8_6H:C20	EMU001_TMD8_3H:C20	0.7365
EMU001_TMD8_6H:C19	EMU001_TMD8_3H:C19	0.6232
EMU001_TMD8_6H:C19	EMU001_TMD8_3H:C20	0.5421
EMU001_TMD8_3H:C19	EMU001_TMD8_3H:C20	0.6856
ERG005_VCAP_6H:BRD-K21680192-300-08-6:5	ERG005_VCAP_6H:BRD-K21680192-300-08-6:1	0.9131
AML001_CD34_6H:BRD-K21918725:3.33333	AML001_CD34_6H:BRD-K21918725:10	0.1406
ASG003_A549_6H:O23	ASG003_A549_6H:O22	0.6524
REP.A004_HELA_3H:H15	REP.A004_HELA_3H:H13	0.2649
MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:1.1111	MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:10	0.3694
MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:1.1111	MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:3.3333	0.669
MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:10	MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:3.3333	0.4512
