Sample1	Sample2	GSE70138-Knockdown_96h
TA.KD009_A549_96H:TRCN0000059091:1	TA.KD009_A549_96H:TRCN0000059092:1	-0.0442
TA.KD009_A549_96H:TRCN0000358749:1	TA.KD009_A549_96H:TRCN0000344652:1	0.1
TA.KD009_A549_96H:TRCN0000358749:1	TA.KD009_A549_96H:TRCN0000059092:1	-0.0513
TA.KD009_A549_96H:TRCN0000344652:1	TA.KD009_A549_96H:TRCN0000059092:1	0.1182
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000218254:1	0.1339
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000013715:1	0.0505
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000229648:1	0.2133
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000013716:1	0.1569
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000013713:1	-0.0526
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000013714:1	0.2138
TA.KD009_A549_96H:TRCN0000013717:1	TA.KD009_A549_96H:TRCN0000229649:1	-0.149
TA.KD009_A549_96H:TRCN0000218254:1	TA.KD009_A549_96H:TRCN0000013715:1	-0.038
TA.KD009_A549_96H:TRCN0000218254:1	TA.KD009_A549_96H:TRCN0000229648:1	0.19
TA.KD009_A549_96H:TRCN0000218254:1	TA.KD009_A549_96H:TRCN0000013716:1	0.0257
TA.KD009_A549_96H:TRCN0000218254:1	TA.KD009_A549_96H:TRCN0000013713:1	0.0314
TA.KD009_A549_96H:TRCN0000218254:1	TA.KD009_A549_96H:TRCN0000013714:1	0.0745
TA.KD009_A549_96H:TRCN0000218254:1	TA.KD009_A549_96H:TRCN0000229649:1	-0.1078
TA.KD009_A549_96H:TRCN0000013715:1	TA.KD009_A549_96H:TRCN0000229648:1	0.0502
TA.KD009_A549_96H:TRCN0000013715:1	TA.KD009_A549_96H:TRCN0000013716:1	0.1947
TA.KD009_A549_96H:TRCN0000013715:1	TA.KD009_A549_96H:TRCN0000013713:1	-0.0771
TA.KD009_A549_96H:TRCN0000013715:1	TA.KD009_A549_96H:TRCN0000013714:1	0.0175
TA.KD009_A549_96H:TRCN0000013715:1	TA.KD009_A549_96H:TRCN0000229649:1	-0.0308
TA.KD009_A549_96H:TRCN0000229648:1	TA.KD009_A549_96H:TRCN0000013716:1	0.1366
TA.KD009_A549_96H:TRCN0000229648:1	TA.KD009_A549_96H:TRCN0000013713:1	-0.1082
TA.KD009_A549_96H:TRCN0000229648:1	TA.KD009_A549_96H:TRCN0000013714:1	0.1127
TA.KD009_A549_96H:TRCN0000229648:1	TA.KD009_A549_96H:TRCN0000229649:1	-0.1436
