Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine_diffshRNA
TA.KD010_A549_96H:TRCN0000199017:1	TA.KD010_A549_96H:TRCN0000432650:1	0.4806	0.0517	0.0036	0.0532
TA.KD010_A549_96H:TRCN0000418856:1	TA.KD010_A549_96H:TRCN0000431959:1	0.5215	0.0549	0.0571	0.0558
TA.KD010_A549_96H:TRCN0000418856:1	TA.KD010_A549_96H:TRCN0000432650:1	0.5031	0.0113	0.007	0.0129
TA.KD010_A549_96H:TRCN0000431959:1	TA.KD010_A549_96H:TRCN0000432650:1	0.5031	-0.0092	-0.03	-0.0077
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062546:1	0.6176	0.2119	0.2547	0.2136
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000425611:1	0.4826	0.0213	0.0022	0.0214
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062545:1	0.4356	-0.1042	-0.1465	-0.1042
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062547:1	0.5	-0.0006	-0.0439	0.0021
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062544:1	0.5123	0.0154	0.0182	0.0174
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000418097:1	0.4949	0.0618	0.0316	0.0617
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000425611:1	0.4427	-0.0959	-0.1268	-0.0955
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000062545:1	0.454	-0.0463	-0.0998	-0.0463
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000062547:1	0.5736	0.1711	0.1792	0.1764
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000062544:1	0.5511	0.1434	0.17	0.1475
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000418097:1	0.501	0.005	0.0094	0.0047
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000062545:1	0.5634	0.1413	0.1358	0.1413
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000062547:1	0.4121	-0.1202	-0.1983	-0.1196
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000062544:1	0.3783	-0.1325	-0.2314	-0.1321
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000418097:1	0.5337	0.1163	0.09	0.1163
TA.KD009_A549_96H:TRCN0000062545:1	TA.KD009_A549_96H:TRCN0000062547:1	0.4468	-0.0462	-0.1089	-0.0461
