drug-sample	target-sample	jaccard	pearson	spearman	cosine
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000355728:1	0.5266	0.1295	0.1328	0.1301
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000003377:1	0.5082	0.1138	0.0847	0.1148
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000355727:1	0.5225	0.1737	0.1273	0.1745
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000355726:1	0.5419	0.2122	0.1981	0.2133
CPC005_A375_24H:BRD-A16311756-003-06-9:10	CGS001_A375_96H:CHRM1:1	0.5204	0.0618	0.064	0.0627
CPD001_MCF7_24H:BRD-A17828570-001-01-0:10	CGS001_MCF7_96H:ESR1:2	0.6769	0.4308	0.4581	0.4309
CPD001_MCF7_24H:BRD-A17828570-001-01-0:10	CGS001_MCF7_144H:ESR1:2	0.6452	0.439	0.4142	0.4375
LJP005_HT29_24H:K19	CGS001_HT29_96H:PIK3CG:1	0.5194	0.0899	0.0623	0.0873
PCL001_HEPG2_24H:BRD-A18497530:1.11	CGS001_HEPG2_96H:MAPK3:1.5	0.5613	0.0832	0.139	0.0829
PCL001_HEPG2_24H:BRD-A18497530:10	CGS001_HEPG2_96H:MAPK3:1.5	0.3456	-0.335	-0.3623	-0.3338
PCL001_A375_24H:BRD-A18497530:10	CGS001_A375_96H:MAPK3:1	0.3691	-0.2156	-0.2837	-0.2106
PCL001_A375_24H:BRD-A18497530:1.11	CGS001_A375_96H:MAPK3:1	0.363	-0.2659	-0.3395	-0.262
PCL001_HA1E_24H:BRD-A18497530:1.11	CGS001_HA1E_96H:MAPK3:1.5	0.4018	-0.1949	-0.231	-0.1946
PCL001_HA1E_24H:BRD-A18497530:3.33	CGS001_HA1E_96H:MAPK3:1.5	0.3027	-0.4237	-0.488	-0.4204
DOSBIO002_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5031	-0.0213	-0.0116	-0.0215
HDAC001_PC3_6H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5378	0.1016	0.0951	0.1014
AML001_PC3_6H:BRD-A19500257:0.37037	CGS001_PC3_144H:HSP90AA1:2	0.4857	0.0159	-0.0059	0.0155
AML001_PC3_6H:BRD-A19500257:3.33333	CGS001_PC3_144H:HSP90AA1:2	0.5164	0.0715	0.0537	0.0707
HDAC001_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4969	0.0005	-0.0125	0.0005
DOSBIO002_PC3_24H:BRD-A19500257:1.11111	CGS001_PC3_144H:HSP90AA1:2	0.4969	-0.0354	-0.0239	-0.0353
