Sample1	Sample2	dose0.01uM-1uM_time24
REP.A004_A375_24H:H17	REP.A004_A375_24H:H18	0.5975
REP.A004_A375_24H:H17	REP.A004_A375_24H:H16	0.4472
REP.A004_A375_24H:H18	REP.A004_A375_24H:H16	0.3989
REP.B004_A375_24H:H15	REP.B004_A375_24H:H14	0.417
REP.B004_HA1E_24H:H14	REP.B004_HA1E_24H:H15	0.5212
REP.B004_HELA_24H:H15	REP.B004_HELA_24H:H14	0.3693
REP.B004_PC3_24H:H14	REP.B004_PC3_24H:H15	0.5967
LJP006_HA1E_24H:B12	LJP006_HA1E_24H:B10	0.3493
PCLB003_A375_24H:BRD-K24576554-001-01-4:0.12	PCLB003_A375_24H:BRD-K24576554-001-01-4:0.04	0.7178
LJP007_SKL.C_24H:K16	LJP007_SKL.C_24H:K17	0.3256
PBIOA022_A375_24H:B10	PBIOA022_A375_24H:B11	0.5397
ASG002_A549_24H:A14	ASG002_A549_24H:A15	0.7113
ASG002_MCF7_24H:A14	ASG002_MCF7_24H:A15	0.406
ASG002_PC3_24H:A15	ASG002_PC3_24H:A14	0.6207
ASG003_WA09.AST_24H:N08	ASG003_WA09.AST_24H:N09	0.7979
ASG003_XC.P031_24H:N08	ASG003_XC.P031_24H:N09	0.4749
ASG003_XC.P904_24H:N09	ASG003_XC.P904_24H:N08	0.5681
ASG003_XC.P905_24H:N09	ASG003_XC.P905_24H:N08	0.5994
ASG003_XC.P908_24H:N08	ASG003_XC.P908_24H:N09	0.4622
ASG003_XC.P932_24H:N08	ASG003_XC.P932_24H:N09	0.6683
MOAR019_A375_24H:O07	MOAR019_A375_24H:O19	0.8535
LJP007_NPC.CAS9_24H:N11	LJP007_NPC.CAS9_24H:N10	0.5051
LJP007_NPC.TAK_24H:N11	LJP007_NPC.TAK_24H:N12	0.6996
LJP007_THP1_24H:N12	LJP007_THP1_24H:N11	0.4447
ISO002_HCT116.TP53.HR_24H:G10	ISO002_HCT116.TP53.HR_24H:G11	0.9132
